latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.3523,-15.7672,315.8,3.6,1.8,2015-01-01,1354,Aqua,MODIS,51,6.2,299.7,45.3,D,0
13.3607,-15.7735,317.2,3.6,1.8,2015-01-01,1354,Aqua,MODIS,47,6.2,298.1,50.5,D,0
13.3682,-15.8969,331.3,1,1,2015-01-02,1436,Aqua,MODIS,84,6.2,302.7,22.9,D,0
13.3669,-15.9065,318,1,1,2015-01-02,1436,Aqua,MODIS,43,6.2,298.9,8.1,D,0
13.3695,-15.8873,327.2,1,1,2015-01-02,1436,Aqua,MODIS,67,6.2,306.1,16.3,D,0
13.4035,-15.6269,323.2,1.1,1,2015-01-04,1424,Aqua,MODIS,58,6.2,305.8,11.1,D,0
13.1626,-16.1712,322.8,1.1,1.1,2015-01-07,1151,Terra,MODIS,73,6.2,302.2,15.7,D,0
13.4219,-15.8078,316.5,1.2,1.1,2015-01-07,1151,Terra,MODIS,41,6.2,304.1,7.1,D,0
13.3155,-15.9108,323.3,2,1.4,2015-01-07,1455,Aqua,MODIS,67,6.2,306.7,22.6,D,0
13.3924,-15.4787,319.7,2.2,1.4,2015-01-07,1455,Aqua,MODIS,56,6.2,304.5,21.1,D,0
13.3118,-15.9033,323.9,2,1.4,2015-01-07,1455,Aqua,MODIS,63,6.2,306.6,24,D,0
13.3842,-15.6547,322.4,2.1,1.4,2015-01-07,1455,Aqua,MODIS,62,6.2,304.5,26.1,D,0
13.3865,-15.6356,319.5,2.1,1.4,2015-01-07,1455,Aqua,MODIS,39,6.2,305.4,16.7,D,0
13.2899,-15.898,300.6,1.9,1.3,2015-01-08,0309,Aqua,MODIS,9,6.2,286.5,13.4,N,0
13.2957,-15.8916,305.9,1.9,1.3,2015-01-08,0309,Aqua,MODIS,66,6.2,286.8,22.5,N,0
13.343,-16.0075,317,1,1,2015-01-09,1139,Terra,MODIS,63,6.2,299.9,8.8,D,0
13.411,-15.6531,321.8,1,1,2015-01-09,1139,Terra,MODIS,72,6.2,303.9,11.3,D,0
13.386,-15.3584,318.3,1,1,2015-01-09,1139,Terra,MODIS,65,6.2,303,7.8,D,0
13.4097,-15.644,324.6,1,1,2015-01-09,1139,Terra,MODIS,76,6.2,302,14.2,D,0
13.3989,-13.9025,321.3,1.6,1.3,2015-01-13,1114,Terra,MODIS,74,6.2,304.4,18.4,D,0
13.5985,-15.3597,353.2,1.2,1.1,2015-01-13,1418,Aqua,MODIS,73,6.2,303.5,79.4,D,0
13.6214,-14.8919,322.2,1.7,1.3,2015-01-14,1157,Terra,MODIS,66,6.2,305.8,19.9,D,0
13.6327,-14.8898,321.2,1.7,1.3,2015-01-14,1157,Terra,MODIS,52,6.2,306.4,17,D,0
13.6165,-14.9184,322.4,3.2,1.7,2015-01-14,1501,Aqua,MODIS,62,6.2,300.4,59.5,D,0
13.6131,-14.9231,320.7,3.2,1.7,2015-01-14,1501,Aqua,MODIS,58,6.2,301.1,50.4,D,0
13.5378,-13.9777,322.1,1,1,2015-01-18,1133,Terra,MODIS,68,6.2,307.7,7.7,D,0
13.5719,-16.2293,354.3,1.2,1.1,2015-01-18,1133,Terra,MODIS,97,6.2,308.5,73.9,D,0
13.5484,-14.6677,327.9,1.2,1.1,2015-01-18,1437,Aqua,MODIS,77,6.2,290,23,D,0
13.5596,-14.6582,325.2,1.2,1.1,2015-01-18,1437,Aqua,MODIS,52,6.2,295.5,17.8,D,0
13.561,-14.6474,327.8,1.2,1.1,2015-01-18,1437,Aqua,MODIS,70,6.2,296.8,21.7,D,0
13.4621,-15.2344,335.3,1.1,1.1,2015-01-18,1437,Aqua,MODIS,85,6.2,311,26.2,D,0
13.1961,-16.0765,312.7,3.2,1.7,2015-01-19,1216,Terra,MODIS,55,6.2,299.8,28.2,D,0
13.1592,-15.8725,314.8,3.3,1.7,2015-01-19,1216,Terra,MODIS,62,6.2,299.6,40,D,0
13.1578,-15.8512,329.8,1.1,1,2015-01-20,1424,Aqua,MODIS,64,6.2,311.4,15.6,D,0
13.1655,-15.8625,329.2,1.1,1,2015-01-20,1424,Aqua,MODIS,59,6.2,309.2,14.7,D,0
13.5012,-14.0697,327.8,1,1,2015-01-20,1425,Aqua,MODIS,62,6.2,312.4,9,D,0
13.2182,-16.7313,322.4,1.2,1.1,2015-01-20,1425,Aqua,MODIS,62,6.2,309,10.7,D,0
13.756,-15.3216,350,1,1,2015-01-25,1139,Terra,MODIS,94,6.2,311,49.4,D,0
13.7406,-15.3303,341.3,1.4,1.2,2015-01-25,1443,Aqua,MODIS,85,6.2,314.2,44.7,D,0
13.3974,-15.8558,351.4,1.2,1.1,2015-01-25,1443,Aqua,MODIS,94,6.2,313.2,69.8,D,0
13.396,-15.8671,328.4,1.2,1.1,2015-01-25,1443,Aqua,MODIS,61,6.2,308.2,17.4,D,0
13.3756,-15.9448,357,1.2,1.1,2015-01-25,1443,Aqua,MODIS,98,6.2,313.1,88.5,D,0
13.7509,-15.3318,328,1.4,1.2,2015-01-25,1443,Aqua,MODIS,56,6.2,312.7,15.2,D,0
13.739,-15.3427,327.7,1.3,1.2,2015-01-25,1443,Aqua,MODIS,47,6.2,310.8,13.3,D,0
13.3625,-15.7373,321.7,1.3,1.1,2015-01-27,1127,Terra,MODIS,47,6.2,305.1,12.3,D,0
