latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
13.403288,-14.679893,335.57,0.39,0.36,2012-01-20,1410,N,VIIRS,l,1,306.05,2.52,D,0
13.167356,-16.577505,340,0.45,0.39,2012-01-20,1410,N,VIIRS,n,1,304.17,5.59,D,0
13.163798,-16.576902,343.26,0.45,0.39,2012-01-20,1410,N,VIIRS,n,1,301.59,3.62,D,0
13.256457,-16.31983,334.12,0.44,0.38,2012-01-20,1410,N,VIIRS,n,1,307.11,5.77,D,0
13.255808,-16.323868,347.28,0.44,0.38,2012-01-20,1410,N,VIIRS,n,1,306.8,8.71,D,0
13.406069,-14.684028,332.82,0.39,0.36,2012-01-20,1410,N,VIIRS,l,1,306.11,2.52,D,0
13.396564,-15.766331,351.56,0.42,0.37,2012-01-20,1411,N,VIIRS,n,1,307.6,9.68,D,0
13.382546,-15.787642,333.23,0.42,0.38,2012-01-20,1411,N,VIIRS,l,1,306.53,4.71,D,0
13.383785,-15.779962,338.88,0.42,0.38,2012-01-20,1411,N,VIIRS,n,1,305.81,5.84,D,0
13.380685,-15.799175,367,0.42,0.38,2012-01-20,1411,N,VIIRS,h,1,307.76,15.25,D,0
13.384404,-15.776122,367,0.42,0.37,2012-01-20,1411,N,VIIRS,h,1,308.3,13.81,D,0
13.355978,-15.929999,336.98,0.42,0.38,2012-01-20,1411,N,VIIRS,l,1,307.59,3.57,D,0
13.376,-15.806306,339.13,0.42,0.38,2012-01-20,1411,N,VIIRS,n,1,300.63,56.44,D,0
13.377866,-15.794768,355.85,0.42,0.38,2012-01-20,1411,N,VIIRS,n,1,308.65,45.05,D,0
13.378487,-15.790923,344.56,0.42,0.38,2012-01-20,1411,N,VIIRS,n,1,306.71,21.04,D,0
13.379107,-15.787083,339.6,0.42,0.38,2012-01-20,1411,N,VIIRS,n,1,304.84,21.04,D,0
13.379726,-15.783242,355.9,0.42,0.38,2012-01-20,1411,N,VIIRS,n,1,307.93,5.89,D,0
13.380347,-15.779397,342.38,0.42,0.38,2012-01-20,1411,N,VIIRS,n,1,304.08,5.89,D,0
13.376623,-15.802457,367,0.42,0.38,2012-01-20,1411,N,VIIRS,h,1,345.73,56.44,D,0
13.377244,-15.798612,367,0.42,0.38,2012-01-20,1411,N,VIIRS,h,1,333.46,45.05,D,0
13.373181,-15.80189,353.57,0.42,0.38,2012-01-20,1411,N,VIIRS,n,1,300.98,56.44,D,0
13.374426,-15.794199,355.34,0.42,0.38,2012-01-20,1411,N,VIIRS,n,1,309.71,45.05,D,0
13.375047,-15.790358,335,0.42,0.38,2012-01-20,1411,N,VIIRS,n,1,303.11,21.04,D,0
13.375668,-15.786513,350,0.42,0.38,2012-01-20,1411,N,VIIRS,n,1,324.72,21.04,D,0
13.376288,-15.782672,338.35,0.42,0.38,2012-01-20,1411,N,VIIRS,n,1,304.24,5.89,D,0
13.708005,-15.084538,337.57,0.4,0.37,2012-01-20,1411,N,VIIRS,n,1,302.75,3.53,D,0
13.631031,-15.127797,341.34,0.4,0.37,2012-01-20,1411,N,VIIRS,n,1,305.3,4.47,D,0
13.373804,-15.798045,367,0.42,0.38,2012-01-20,1411,N,VIIRS,h,1,310.41,45.05,D,0
13.631607,-15.124127,346.21,0.4,0.37,2012-01-20,1411,N,VIIRS,n,1,307.1,4.38,D,0
13.370987,-15.793629,332.38,0.42,0.38,2012-01-20,1411,N,VIIRS,n,1,304.9,3.08,D,0
13.34687,-15.92051,335.98,0.42,0.38,2012-01-20,1411,N,VIIRS,n,1,304.38,2.01,D,0
13.627666,-15.127247,348.5,0.4,0.37,2012-01-20,1411,N,VIIRS,n,1,311.32,7.49,D,0
13.6243,-15.126698,346.44,0.4,0.37,2012-01-20,1411,N,VIIRS,n,1,308.35,7.49,D,0
13.624879,-15.123028,339.36,0.4,0.37,2012-01-20,1411,N,VIIRS,n,1,307.55,5.08,D,0
13.400969,-15.782825,336.14,0.42,0.38,2012-01-20,1411,N,VIIRS,n,1,305.72,5.35,D,0
13.401584,-15.778999,352.09,0.42,0.37,2012-01-20,1411,N,VIIRS,n,1,305.51,5.36,D,0
13.402199,-15.775167,351.67,0.42,0.37,2012-01-20,1411,N,VIIRS,n,1,307.11,5.36,D,0
13.402814,-15.771338,338.01,0.42,0.37,2012-01-20,1411,N,VIIRS,n,1,306.17,3.46,D,0
13.398149,-15.778417,334.85,0.42,0.37,2012-01-20,1411,N,VIIRS,l,1,309.6,5.36,D,0
13.399999,-15.766908,334.51,0.42,0.37,2012-01-20,1411,N,VIIRS,l,1,308.57,3.46,D,0
13.391896,-15.773424,333.31,0.42,0.37,2012-01-20,1411,N,VIIRS,n,1,307.2,5.02,D,0
13.388805,-15.792615,367,0.42,0.38,2012-01-20,1411,N,VIIRS,h,1,306.57,9.99,D,0
13.392513,-15.76959,367,0.42,0.37,2012-01-20,1411,N,VIIRS,h,1,309.09,9.68,D,0
13.384127,-15.799737,330.03,0.42,0.38,2012-01-20,1411,N,VIIRS,n,1,302.65,15.25,D,0
13.384746,-15.79589,353.56,0.42,0.38,2012-01-20,1411,N,VIIRS,n,1,315.65,15.25,D,0
13.385365,-15.792049,339.28,0.42,0.38,2012-01-20,1411,N,VIIRS,n,1,309.04,4.71,D,0
13.388462,-15.772846,356.23,0.42,0.37,2012-01-20,1411,N,VIIRS,n,1,310.71,13.81,D,0
13.389079,-15.769011,338.56,0.42,0.37,2012-01-20,1411,N,VIIRS,n,1,305.61,8.34,D,0
13.380064,-15.803022,348.69,0.42,0.38,2012-01-20,1411,N,VIIRS,n,1,301.43,7.04,D,0
13.381306,-15.79533,350.64,0.42,0.38,2012-01-20,1411,N,VIIRS,n,1,308.54,15.25,D,0
13.168985,-16.579763,300.64,0.4,0.37,2012-01-21,0244,N,VIIRS,n,1,285.76,0.39,N,0
13.352682,-15.824088,317.86,0.42,0.37,2012-01-21,0244,N,VIIRS,n,1,279.38,0.83,N,0
13.598341,-14.898529,296.05,0.45,0.39,2012-01-21,0244,N,VIIRS,n,1,260.4,0.81,N,0
13.309249,-16.713778,325.72,0.4,0.37,2012-01-21,0244,N,VIIRS,n,1,285.85,1.91,N,0
13.41011,-14.678835,295.26,0.46,0.39,2012-01-21,0244,N,VIIRS,n,1,274.22,0.58,N,0
13.350761,-15.91859,304.55,0.41,0.37,2012-01-21,0244,N,VIIRS,n,1,286.19,0.75,N,0
13.34734,-15.919173,313.64,0.41,0.37,2012-01-21,0244,N,VIIRS,n,1,286.96,1.4,N,0
13.402202,-15.76024,298.06,0.42,0.38,2012-01-21,0244,N,VIIRS,n,1,279.12,0.83,N,0
13.398765,-15.760844,298.8,0.42,0.38,2012-01-21,0244,N,VIIRS,n,1,277.2,0.57,N,0
13.353572,-15.808177,296.93,0.42,0.37,2012-01-21,0244,N,VIIRS,n,1,276.01,0.38,N,0
13.395329,-15.761443,301.18,0.42,0.38,2012-01-21,0244,N,VIIRS,n,1,276.52,0.57,N,0
13.359801,-15.803142,299.96,0.42,0.37,2012-01-21,0244,N,VIIRS,n,1,274.43,0.57,N,0
13.345184,-15.821452,301.61,0.42,0.37,2012-01-21,0244,N,VIIRS,n,1,279.2,0.99,N,0
13.349252,-15.824682,298.69,0.42,0.37,2012-01-21,0244,N,VIIRS,n,1,278.23,0.83,N,0
13.488489,-14.674559,295.33,0.46,0.39,2012-01-21,0244,N,VIIRS,n,1,269.84,0.44,N,0
13.366032,-15.798104,303,0.42,0.37,2012-01-21,0244,N,VIIRS,n,1,272.69,0.91,N,0
13.715766,-15.075935,305.64,0.44,0.38,2012-01-21,0244,N,VIIRS,n,1,282.11,1.18,N,3
13.363234,-15.802541,297.79,0.42,0.37,2012-01-21,0244,N,VIIRS,n,1,275.83,0.57,N,0
13.349887,-15.828506,299.88,0.42,0.37,2012-01-21,0244,N,VIIRS,n,1,277.7,0.83,N,0
13.493531,-14.6824,299.09,0.46,0.39,2012-01-21,0244,N,VIIRS,n,1,269.95,0.89,N,3
13.332032,-16.62023,301.27,0.4,0.37,2012-01-21,0244,N,VIIRS,n,1,282.82,0.49,N,0
13.362974,-15.822297,302.9,0.42,0.37,2012-01-21,0244,N,VIIRS,n,1,278.4,0.72,N,0
13.332682,-16.70981,295.36,0.4,0.37,2012-01-21,0244,N,VIIRS,n,1,283.97,0.15,N,0
